data;hora;tipo;gravidade;bairro;logradouro;latitude;longitude
2025-01-05;07:40;Colisão;Leve;Centro;Avenida Rio Branco;-22.905411;-43.177580
2025-01-12;21:10;Atropelamento;Grave;Copacabana;Avenida Atlântica;-22.976851;-43.188144
2025-01-23;16:25;Queda de motocicleta;Moderada;Leblon;Avenida Ataulfo de Paiva;-22.985261;-43.226310
2025-02-02;09:15;Engavetamento;Leve;Ipanema;Rua Visconde de Pirajá;-22.984037;-43.208755
2025-02-14;18:50;Colisão;Moderada;Laranjeiras;Rua das Laranjeiras;-22.932380;-43.182291
2025-02-26;06:35;Capotamento;Grave;Cachambi;Avenida Dom Hélder Câmara;-22.884957;-43.278169
2025-03-04;12:20;Atropelamento;Moderada;Catete;Rua do Catete;-22.926887;-43.176597
2025-03-17;20:05;Colisão;Leve;Tijuca;Rua Conde de Bonfim;-22.926012;-43.234919
2025-03-29;14:45;Queda de motocicleta;Grave;Madureira;Avenida Ministro Edgard Romero;-22.861785;-43.330826
2025-04-06;08:10;Engavetamento;Moderada;Gávea;Rua Marquês de São Vicente;-22.977164;-43.230673
2025-04-18;17:30;Colisão;Leve;Méier;Rua Dias da Cruz;-22.904161;-43.285446
2025-04-30;22:15;Capotamento;Grave;Pechincha;Avenida Geremário Dantas;-22.926515;-43.356097
2025-05-08;10:40;Atropelamento;Leve;Jardim Botânico;Rua Jardim Botânico;-22.961251;-43.212568
2025-05-19;19:25;Colisão;Moderada;Maracanã;Rua São Francisco Xavier;-22.912017;-43.236837
2025-05-27;05:55;Queda de motocicleta;Grave;Jacarepaguá;Estrada dos Bandeirantes;-22.959567;-43.386868
2025-06-03;13:35;Engavetamento;Leve;Botafogo;Rua Voluntários da Pátria;-22.950909;-43.182929
2025-06-15;23:05;Colisão;Moderada;Madureira;Rua Carvalho de Souza;-22.875669;-43.335802
2025-06-28;11:50;Capotamento;Grave;Barra da Tijuca;Avenida das Américas;-23.000297;-43.356193
2025-07-07;07:20;Atropelamento;Moderada;Campo Grande;Avenida Cesário de Melo;-22.902810;-43.551000
2025-07-19;15:45;Colisão;Leve;Centro;Avenida Rio Branco;-22.905411;-43.177580
2025-07-30;20:30;Queda de motocicleta;Grave;Copacabana;Avenida Atlântica;-22.976851;-43.188144
2025-08-09;09:05;Engavetamento;Moderada;Leblon;Avenida Ataulfo de Paiva;-22.985261;-43.226310
2025-08-21;18:15;Colisão;Leve;Catete;Rua do Catete;-22.926887;-43.176597
2025-08-29;06:50;Capotamento;Grave;Cachambi;Avenida Dom Hélder Câmara;-22.884957;-43.278169
2025-09-05;12:40;Atropelamento;Leve;Ipanema;Rua Visconde de Pirajá;-22.984037;-43.208755
2025-09-16;21:35;Colisão;Moderada;Tijuca;Rua Conde de Bonfim;-22.926012;-43.234919
2025-09-28;16:10;Queda de motocicleta;Grave;Madureira;Avenida Ministro Edgard Romero;-22.861785;-43.330826
2025-10-04;08:25;Engavetamento;Leve;Laranjeiras;Rua das Laranjeiras;-22.932380;-43.182291
2025-10-13;19:55;Colisão;Moderada;Maracanã;Rua São Francisco Xavier;-22.912017;-43.236837
2025-10-25;23:20;Capotamento;Grave;Pechincha;Avenida Geremário Dantas;-22.926515;-43.356097
2025-11-02;10:15;Atropelamento;Moderada;Gávea;Rua Marquês de São Vicente;-22.977164;-43.230673
2025-11-14;17:45;Colisão;Leve;Méier;Rua Dias da Cruz;-22.904161;-43.285446
2025-11-26;05:30;Queda de motocicleta;Grave;Jacarepaguá;Estrada dos Bandeirantes;-22.959567;-43.386868
2025-12-06;14:05;Engavetamento;Leve;Jardim Botânico;Rua Jardim Botânico;-22.961251;-43.212568
2025-12-18;20:40;Colisão;Moderada;Madureira;Rua Carvalho de Souza;-22.875669;-43.335802
2025-12-29;09:50;Capotamento;Grave;Campo Grande;Avenida Cesário de Melo;-22.902810;-43.551000
2026-01-10;08:30;Colisão;Leve;Centro;Avenida Rio Branco;-22.905411;-43.177580
2026-01-18;21:15;Atropelamento;Grave;Copacabana;Avenida Atlântica;-22.976851;-43.188144
2026-02-03;13:40;Queda de motocicleta;Moderada;Ipanema;Rua Visconde de Pirajá;-22.984037;-43.208755
2026-02-21;07:05;Colisão;Moderada;Gávea;Rua Marquês de São Vicente;-22.977164;-43.230673
2026-03-09;17:50;Engavetamento;Leve;Jardim Botânico;Rua Jardim Botânico;-22.961251;-43.212568
2026-03-22;11:20;Colisão;Grave;Botafogo;Rua Voluntários da Pátria;-22.950909;-43.182929
2026-04-07;19:35;Atropelamento;Moderada;Tijuca;Rua Conde de Bonfim;-22.926012;-43.234919
2026-04-19;15:10;Queda de motocicleta;Leve;Méier;Rua Dias da Cruz;-22.904161;-43.285446
2026-05-02;09:55;Engavetamento;Moderada;Barra da Tijuca;Avenida das Américas;-23.000297;-43.356193
2026-05-18;18:30;Colisão;Leve;Leblon;Avenida Ataulfo de Paiva;-22.985261;-43.226310
2026-06-04;07:45;Capotamento;Grave;Catete;Rua do Catete;-22.926887;-43.176597
2026-06-19;22:05;Atropelamento;Moderada;Maracanã;Rua São Francisco Xavier;-22.912017;-43.236837
2026-07-08;12:55;Colisão;Leve;Madureira;Avenida Ministro Edgard Romero;-22.861785;-43.330826
2026-07-24;16:35;Queda de motocicleta;Grave;Campo Grande;Avenida Cesário de Melo;-22.902810;-43.551000
